,ID,ability_SRET_RJ1_d,moral_SRET_RJ1_d,ability_SRET_RJ2_d,moral_SRET_RJ2_d
1,phase_003_subj_10,-0.517974477,0.242905003,0.791638608,0.229884118
2,phase_003_subj_11,-1.371873036,-1.341676662,-0.282972031,1.414969509
3,phase_003_subj_13,0.942763035,-0.472789121,-0.637278728,0.10821097
4,phase_003_subj_2,0.821734088,-0.242905003,-0.517179066,0.948949292
5,phase_003_subj_3,0,0,1.691431229,1.593218818
6,phase_003_subj_4,1.217832509,-0.275069474,-0.331465727,-1.124732251
7,phase_003_subj_6,0,-1.569592683,0.754217242,0.595748861
8,phase_003_subj_8,0.747858595,0.624014441,1.246861784,0.918729068
9,phase_003_subj_9,0.517974477,-0.626829648,0.472789121,0.087468655
10,phase_004_subj_1,-1.096803562,-1.141988918,-0.589455798,-0.859630794
11,phase_004_subj_10,0.517974477,0.624014441,-0.229884118,-0.472789121
12,phase_004_subj_11,1.215864412,0.550138948,1.466128358,0.478645155
13,phase_004_subj_13,0.866919445,0,3.11008742,3.289707254
14,phase_004_subj_15,-0.972959408,0,0.841760219,0.589455798
15,phase_004_subj_16,0.578829085,-1.69062163,-0.210428394,0.67448975
16,phase_004_subj_18,-0.242905003,0.013020886,0.589455798,-0.367739079
17,phase_004_subj_2,-0.747858595,-0.275069474,-0.185713339,-0.314621369
18,phase_004_subj_3,0,0.275069474,2.421267103,2.123576342
19,phase_004_subj_5,-0.348944967,0.747858595,1.3489795,1.220647716
20,phase_004_subj_8,-0.942763035,-1.217832509,3.238072445,2.123576342
21,phase_005_subj_1,0.624014441,0.550138948,-0.157310685,0.746766482
22,phase_005_subj_10,0,-1.141988918,0.292931816,-0.206560264
23,phase_005_subj_12,-0.030196374,0.242905003,2.532000186,2.325759152
24,phase_005_subj_13,1.111792545,0.866919445,-0.385320466,-1.096803562
25,phase_005_subj_16,0.11906085,0,-0.667536613,1.421753856
26,phase_005_subj_18,0,2.163410751,0,0.355545464
27,phase_005_subj_19,-0.699858031,1.141988918,-0.208795672,0.589455798
28,phase_005_subj_2,4.44E-16,0.942763035,2.133236952,3.238072445
29,phase_005_subj_3,0.383924645,-0.154040527,1.337314393,0.747858595
30,phase_005_subj_4,0.593818067,0.275069474,3.186437636,2.50154211
31,phase_005_subj_5,0.836723071,1.460737512,0.887146559,1.644853627
32,phase_005_subj_7,0.517974477,-0.591849971,-0.366106357,0.392273603
33,phase_005_subj_9,0.517974477,0.242905003,-0.854882768,-0.464061356
34,phase_006_subj_1,-0.942763035,0.110823268,-0.904373868,-0.841760219
35,phase_006_subj_10,-0.868887541,0,1.133179061,1.059810217
36,phase_006_subj_17,-0.275069474,2.208596107,0.754217242,-0.904373868
37,phase_006_subj_19,0.11906085,0.242905003,1.071123171,0.122670054
38,phase_006_subj_2,0.472789121,-0.747858595,0.831800435,0.488776411
39,phase_006_subj_22,-0.517974477,1.096803562,0.095507951,0.510981813
40,phase_006_subj_23,-0.16902951,0.242905003,1.927069774,-0.229884118
41,phase_006_subj_24,-0.11906085,1.217832509,-0.155677963,-0.524400513
42,phase_006_subj_25,-0.03216447,-0.242905003,0.948949292,1.311002671
43,phase_006_subj_4,1.40253127,-1.569592683,1.715280161,1.32668768
44,phase_006_subj_5,0.624014441,0.078658797,0.363115064,1.272467025
45,phase_006_subj_7,2.160595543,-0.550138948,1.440210687,0.887146559
46,phase_006_subj_8,-1.460737512,-0.381109438,0.366106357,1.561636309
47,phase_007_subj_1,1.217832509,-1.88552607,0.939492877,0.116666677
48,phase_007_subj_10,0.823702185,0.517974477,0.615204584,0.667536613
