"","MR1","MR2","MR3","MR4","MR5","MR6"
"ability_ALT_rt",0.56890170776473,0.24177950999685,0.129600266710821,0.415479268436791,-0.488777631052916,-0.0248949328393503
"moral_ALT_rt",0.496993749822432,0.152203972672502,0.250015552888134,-0.361609264046581,0.11927199620957,-0.00489231219764313
"ability_ALT_d",0.542956822430779,0.21430782054602,0.1474932705976,0.224903801187653,-0.414745006876068,-0.0285104943298981
"moral_ALT_d",0.608464912811159,0.241682048484486,0.415983304229159,-0.587639856876112,0.207241934909219,-0.0827868531103059
"ability_IAT",0.308390962023507,-0.035332864559987,0.0516757615179996,0.204929183298951,0.225252016435963,0.0347102660160304
"moral_IAT",0.368523449343538,-0.0344800609270663,0.183719960085393,0.627112331928824,0.65136558656213,0.082336691331748
"ability_SRET_EW",0.519969783804588,0.178485498916974,-0.768170162964318,-0.112581943343294,0.0853146331671915,0.294807312300352
"moral_SRET_EW",0.199329210735358,0.121338975334415,-0.490348319290203,-0.102571065639835,0.00103649994824644,0.24806287346721
"ability_SRET_rt",-0.268181453130739,0.600027397923901,-0.131728842931606,0.0518644636360336,0.0648056920911305,-0.0929493846215341
"moral_SRET_rt",-0.277512260316394,0.875483855074442,-0.131919632771966,0.0870007335514618,0.157721789441864,-0.31925135954356
"ability_SRET_RJ1_d",-0.13740229001152,0.0181756375815312,0.0618693825830073,-0.0550475672433528,-0.0271399708656151,0.0964687792980759
"moral_SRET_RJ1_d",-0.0314455361918425,-0.011600979246994,0.0264615783024848,0.0468010917567957,0.00359552879007753,-0.0027038417974555
"ability_SRET_RJ2_d",-0.314116571663701,0.355183052891145,0.374238347204927,-0.0171935000306665,-0.0221914472984165,0.59535100908048
"moral_SRET_RJ2_d",-0.226583536251833,0.231364468273978,0.276737338925498,0.043971914150909,-0.0633940388856371,0.329596612411292
