"","selfclarity_1","selfclarity_2","selfclarity_3","selfclarity_4","selfclarity_5","selfclarity_6","selfclarity_7","selfclarity_8","selfclarity_9","selfclarity_10","selfclarity_11","selfclarity_12","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","Ability","Attraction","Wealth","Social","Moral","obj_ses1","fri_ses2","ability_ALT_rt","moral_ALT_rt","ability_ALT_d","moral_ALT_d","ability_IAT","moral_IAT","ability_SRET_EW","moral_SRET_EW","ability_SRET_rt","moral_SRET_rt","ability_SRET_RJ1_d","moral_SRET_RJ1_d","ability_SRET_RJ2_d","moral_SRET_RJ2_d"
"selfclarity_1",0,10.3992065476965,25.6447826569696,17.2538516733085,18.0916320912276,7.94453855961379,9.89052064791814,7.33606572730514,13.2981067718049,14.8433309185807,12.1204658095055,17.3311392308971,40.5943436309563,24.437767931137,31.6762357991424,35.0792830617541,32.6970119355733,40.7958148081345,39.2640817470113,43.259059178114,23.4611665464644,40.1779398357043,38.6705046687496,25.4456194589954,31.505789237799,36.6875003921356,27.3587347887993,35.9000299889737,41.561493269522,27.4580976415401,29.3990751654076,37.7590079592431,42.2086463782456,20.8574788197763,39.907315170704,36.7853533910478,29.5532862104866,39.3029913124483,42.625563860043,14.6043173560504,30.1870830765264,38.6824436931089,40.6317156157145,35.1260414128526,21.196832922414,33.8686204382744,54.2397909631787,52.1904317490677,59.2588514499184,55.3429404138684,46.6764394596818,40.0898154599928,31.7997979742381,58.1034106007229,31.6961996992244,50.14142924188,53.9386851521343,71.919756972349,53.3664983655937,62.26566459722,58.2598312538058,29.6205505419315,41.6974835312803,40.9564182401749,28.6579138245288,38.3003934936619,47.7767218021266,51.2240879407817,50.6961774971607,37.776292748782,33.0420697889911,39.9132489643036,47.8792412463202,41.5603645782998,55.603122415096,48.1466477109676,42.56881476907,34.1237881421938,39.7169421855682,41.2646084271005,29.3224415875889,54.5471462170064,58.764639877252,65.2768928140831,61.9656264489863,59.6729565002624,58.0340652203836,60.7922413013933,64.2727028619416,64.1243341503461,41.7054052427759,41.4745001692286,31.2257376726494,31.1276672664154,19.0823064420953,38.9133146528789,29.9042067869773,42.3677435413206,35.5875537107518,36.8934564751514,30.1931354733879,38.2843980955807,35.810929648924,47.7466052203545,41.6462976936497,37.1791386290794,35.1149349095642,47.5051760533437,36.1152937105723,24.8448974371156,46.1990919131697,34.8784656054483,42.3759647969393,36.9217888090336,47.8474279539956,45.5394914406514,44.2825203598326,49.7825097156362,47.0082616872539,49.1935022760762,39.431415379779,40.2366863399394,55.7980458032511,47.512861003556,39.6470894926287,43.2078588026364,46.6169009617547,52.6677578466107,45.5387274857503,42.5866188055586,44.244926887728,49.4680402372943,50.7595289074551,49.7314425722082,50.3087604885422,59.2619473549172,58.8287170334371,54.6176770884952,71.2688438650893,56.4366166297865,69.4696855561973,61.0469379752421,57.5042912979469,51.6843833845924,54.1914254981641,91.0647447579078,92.9146643375639,114.00009459199,Inf,75.5188025409988,74.9683466995619
"selfclarity_2",10.3992065476965,0,22.0672665934905,20.9147258096603,13.8187071843138,17.3204651664478,20.2897271956147,3.0631408203914,3.22552797651792,23.3433109228923,19.010690956632,13.0582143239834,49.9702702377904,17.5572130271923,42.0754423468389,44.4552096685881,42.0729385424074,51.1950213558311,49.6632882947078,53.6582657258105,33.860373094161,50.5771463834008,46.5835972293751,35.8448260066919,41.9049957854956,47.0867069398321,34.2489599359257,38.5215184497606,40.7468773345702,37.8573041892367,25.1261502584939,46.230333386348,39.610300359154,30.2334054266104,39.4097886784004,42.5317504580566,39.9524927581831,48.4996672143289,42.5875484518136,25.003523903747,40.586289624223,36.0840976740174,38.8992218714212,45.2685559449482,31.5960394701106,38.4134768913653,47.359236059234,41.7912252013712,50.2085346767758,44.9437338661719,36.2772329119853,29.6906089122962,28.6915590592194,49.6659091731179,38.177969966925,39.7422226941834,43.5394786044377,61.5205504246525,54.4028214082471,55.3851096932754,47.8606247061093,36.5107756890579,34.8169286273356,34.0758633362302,37.1578938288404,35.4883259759565,51.3158695470893,47.6465718773026,54.7386756835011,48.1754992964785,33.3364313589474,46.80347411143,54.3335578480226,50.9362911851339,59.1911869604412,51.4947983125757,52.2305587818663,44.5229946898904,50.1161487332647,44.2499745561759,39.7216481352854,61.7665917875167,65.9840854477623,62.1988510427139,62.6778655037595,62.0775215919705,54.9560234490144,64.6004025024466,58.1113050131675,62.6603038978175,45.3662793791277,38.3964583978594,41.624944220346,29.6167526493417,25.9725315892218,40.5542269006218,36.7944319341038,44.532221465311,42.4777788578783,30.0129015712067,33.8540096097396,34.7068820321016,46.2101361966205,44.1690891568755,39.20910610893,30.5265135390929,38.775809045916,40.624621149399,46.5145002582689,21.736658522097,36.1265131178828,38.5393397418001,41.7198384365594,36.5116637586589,43.463556141501,52.2501144844798,43.3858473672951,54.5432874023481,46.5505913270206,56.0837274232027,49.8306219274756,39.8265612895647,55.2039429957602,47.1027359531813,29.5745106973418,49.2354496173865,36.5443221664677,58.6953486613608,35.4661486904634,46.2023595395217,41.1366879727093,46.3598013222757,47.6512899924364,42.8508876682636,47.2005215735236,56.1537084398985,55.7204781184185,64.4033120367618,79.1531578479803,66.2222515780531,77.6139604949709,71.4461445229387,67.9034978456435,52.2002166363643,54.707258749936,91.5805780096796,93.4304975893358,114.850167826066,Inf,76.0346357927707,75.4841799513338
"selfclarity_3",25.6447826569696,22.0672665934905,0,8.39093098366106,15.4869496090075,30.2211729982977,19.735818725425,19.0041257730991,24.9661668175989,14.7830084547625,31.02058168632,25.0681050536714,49.0244726970533,14.1954192950385,37.3908980326126,50.2359661945465,52.6182373207273,51.6107713974416,49.1093798245181,48.1965023338598,28.193310753108,50.9928964250113,37.4884100456717,36.2605760483025,42.3207458271061,47.5024569814426,46.2588506656137,39.5301308971607,41.7554897819702,48.0499260954184,26.134762705894,49.6452844050069,40.6189128065541,31.8976973360664,40.4184011258004,43.5403629054567,45.7499550252313,39.8552255881576,33.9431068256423,37.050159943522,44.7538316154548,37.0927101214174,39.9078343188213,41.4426292728326,43.6426755098856,42.5323460028397,43.1984650433609,52.7915494768229,43.7553441697129,55.1492311622309,45.5227223963658,46.5542458956942,30.3598014839131,52.3600933304698,37.8232859331504,54.8405519840107,52.7849680888183,70.766039909033,52.1844037425158,51.2243386774023,46.1032541403795,39.7057360416471,30.6561576114625,30.7140696040764,28.5975913607106,29.2365111160704,34.253205167893,25.5793052838121,33.3550297983305,46.5492520119607,32.9817473251729,49.9984344640192,53.978873814248,54.3949023366045,55.5427999512778,51.1401142788011,45.763608145511,43.874977230761,49.4681312741354,43.8952905224014,39.0736306761561,57.1057932372769,54.2802938213549,48.4759244198298,52.8452476169764,57.7020032896842,50.5805051467282,50.86069815289,44.3716006636109,48.9205995482609,32.8424845531284,34.0209400955731,48.1913046148552,22.2647465767679,29.167491941811,18.4869603071312,34.9585069862814,38.2804066054249,42.8675088402332,25.8521305553336,21.3302147837404,12.6396154386111,40.9483122456048,22.101822563385,30.4659460762523,30.782966817007,26.2520142199168,27.7407436779192,44.8152430140949,23.4049009467907,22.3868087683261,26.0155449158008,27.9801340870028,33.0653857310797,27.4210736082479,42.4680805121124,34.4490200108329,42.0194925763489,43.1043132994414,48.901383141002,38.8586759109878,36.3802832619855,39.3881988907562,39.5437600796719,26.1282326697626,36.7116547913872,33.0980441388885,44.8083193933682,20.236594676641,42.2281344502071,42.804930397403,46.0262314782695,44.9294186614573,38.6901166523905,47.6253574036508,54.7263906324015,52.9986067874393,66.0715544614555,66.8893239778636,67.8904940027468,65.0901656689717,67.7685927471345,71.3112394244297,47.824698334078,50.3317404476497,87.2050597073934,89.0549792870495,100.476577957756,Inf,71.6591174904844,71.1086616490475
"selfclarity_4",17.2538516733085,20.9147258096603,8.39093098366106,0,7.09601862534647,21.8302420146366,11.3448877417639,17.8515849892689,20.8881123794761,6.39207747110139,22.6296507026589,16.6771740700103,44.3878170064878,15.0509196264191,28.9999670489516,41.8450352108855,44.2273063370662,43.2198404137805,40.7184488408571,44.7134262719598,19.8023797694469,42.6019654413503,29.0974790620106,27.8696450646414,33.929814843445,39.1115259977816,37.8679196819527,40.3856312285412,42.6109901133508,41.5130092453506,26.9902630372745,41.2543534213458,40.2477790583426,32.753197667447,41.273901457181,44.3958632368372,37.3590240415703,45.4788088677156,40.0812550510403,28.6592289598609,36.3629006317938,36.7215763732059,40.3901377997074,40.5773410191466,35.2517445262245,39.8746080383934,44.8529426584608,49.9335285134509,49.4279239759323,54.6702419360773,42.6647014329937,40.272547659413,21.9688705002521,48.530384993984,29.4323549494893,50.3241614413002,49.9269471254462,67.9080189456609,43.7934727588548,52.8788162925021,51.3801956425988,31.314805057986,32.3106352265624,31.5695699354569,20.2066603770495,28.7656374169892,42.644136151554,33.9702362674732,41.7459607819915,38.1583210282996,24.5908163415118,41.6075034803581,45.5879428305869,46.0039713529434,47.1518689676167,42.74918329514,37.3726771618499,35.4840462471,41.0772002904743,35.5043595387403,30.682699692495,55.9074043219126,60.1248979821582,52.224646444014,52.7036609050596,51.7997194745957,44.9818188503145,58.9112318044916,52.7002303375922,56.6283089737752,24.4515535694674,28.6182122128226,39.8003736311941,13.8738155931069,20.7765609581499,25.3512158014986,26.5675760026204,37.8095329063437,34.4765778565722,27.5066081704334,12.9392838000793,21.0305464222722,38.0902912822327,30.492753547046,24.3924460203412,22.3920358333459,17.8610832362557,32.0534611910799,42.4517077430805,15.0139699631296,30.7154384423074,17.6246139321398,25.1221131236307,28.5475430514558,34.2853291026153,34.0771495284513,31.5909990474609,33.6285615926878,39.1407938549264,40.510452157341,34.7482220042998,31.8624405823616,47.4238000456733,36.3632300840976,34.5191636534236,28.3207238077262,32.806124400285,37.7806228517005,28.627525660302,34.9223080983529,34.413999413742,39.6371127633083,40.9286014334691,40.3445942674903,40.4778330145562,49.4310198809312,48.9977895594511,57.6806234777944,58.4983929942026,59.4995630190858,56.6992346853106,59.3776617634734,62.9203084407686,42.4219704513275,44.9290125648992,81.8023318246428,83.652251404299,105.071921641029,Inf,66.2563896077339,65.705933766297
"selfclarity_5",18.0916320912276,13.8187071843138,15.4869496090075,7.09601862534647,0,20.7601414041157,9.1478637249475,10.7555663639224,13.7920937541296,13.4880960964479,16.584214154224,10.6317375215754,45.3464886248423,22.1469382517655,36.095985674298,47.894885906256,45.5126147800753,42.4634871432195,37.605144500542,41.6001219316447,24.5785066174089,47.3780922893123,32.7648900450613,32.6457719126034,38.705941691407,41.0646164016741,31.4206029956726,36.0950416473526,38.3204005321622,36.0915247060628,22.6996734560859,34.1583347959993,37.183823556746,33.6730816642783,36.9833118759924,40.1052736556486,40.8106913718169,38.3827902423692,34.5173556788729,32.695949447278,29.2668820064473,33.6576208716094,36.4727450690132,33.4813223938001,35.8316811253836,35.9870000889573,37.9839375753517,52.8712681926647,42.3319053505859,49.9347036942216,49.7607200583402,43.5093160966101,14.8728518749056,47.1455658624605,36.5283735748358,50.8222656854769,52.1424637111029,75.0040375710074,47.4608837419054,46.009811209393,44.2841770172523,24.2187864326395,25.4416301434532,32.0087843517133,27.302679002396,21.6696187916427,37.4971623627754,41.0662548928196,40.9199684991873,45.2543396536461,31.6868349668583,34.5114848550117,45.5836431371226,40.2347693343006,50.6139186624457,42.7448836016757,44.4686957871964,42.5800648724464,48.1732189158208,42.6003781640868,37.7787183178415,53.6233184282208,57.2544499203531,48.3801438584001,48.8591583194457,48.2588144076566,41.1373162647006,53.8348542518882,47.3457567626091,51.894755647259,31.5475721948138,24.5777512135456,44.4902715840085,15.7980454650279,13.6805423328034,27.2754456734196,33.6635946279669,30.7135142809972,30.1857896014599,23.4678307038519,20.0353024254258,28.1265650476186,37.2703281733938,37.5887721723925,25.3903989246162,29.4880544586923,24.9571018616022,33.4583678025293,39.6007155460857,7.91795133778314,37.4826853686496,24.7206325574862,32.2181317489772,35.6435616768022,36.2095589745363,41.1731681537978,38.6870176728073,40.7245802180343,46.2368124802729,43.7917381667843,41.8442406296463,38.958459207708,50.9263194882404,43.4592487094441,37.0801631760651,35.4167424330726,39.9021430256314,44.8766414770469,31.1885251829435,42.0183267236994,27.3179807883955,32.5410941379618,33.8325828081226,33.4755891843812,33.3818143892097,42.3350012555847,41.9017709341046,50.584604852448,65.594411619549,52.4035443937393,63.795253310657,63.0450727465241,66.5877194238193,38.3815094520504,40.8885515656221,77.7618708253658,79.611790405022,101.031460641752,Inf,62.2159286084568,61.66547276702
"selfclarity_6",7.94453855961379,17.3204651664478,30.2211729982977,21.8302420146366,20.7601414041157,0,17.8350592075319,14.2573243460564,17.9812071863264,20.4135004814493,4.17592724989173,10.1284038825403,32.6498050713426,30.6152183011904,32.3761142474744,27.1347445021403,24.7524733759595,39.0828462680023,35.0623700502201,39.0573474813228,22.1709807419561,44.9705664138595,33.0221139456996,30.2382460371506,36.2984158159542,38.5218419513522,19.4141962291855,35.1433158177865,33.6169547099082,25.2129115395429,22.1963398170508,31.3955696796077,36.680489917711,12.9129402601625,36.4799782369573,34.5401672890506,28.8042846053298,45.916020714359,43.4997632185915,22.5488559156642,38.1316216361402,33.1542872325743,35.9694114299781,42.3387455035051,29.1413714820278,31.3266379917503,46.9663451150703,48.9822974752761,51.3143128903046,52.1348061400768,43.4683051858902,36.8816811862011,23.8552594146243,50.4590441106933,23.7516611396106,46.9332949680883,50.7305508783427,68.7116226985574,45.7221318755641,54.9922187491117,53.266584556971,21.6760119823177,34.4240376831719,40.991191891432,34.2280833873974,30.6520263313614,46.4795699024941,50.2099953107435,42.7516389375469,45.2702358700037,28.5931997475882,31.9687104046898,39.9347026867064,33.615826018686,48.0711442121238,40.2021091513538,50.1777549193224,42.0683267018076,47.661480745182,39.5067429448167,37.2669801472027,62.4916847766202,66.2368574600718,57.3625513981188,57.8415658591644,57.2412219473753,50.1197238044193,62.8172617916069,56.3281643023278,60.8771631869777,37.2566313269398,33.5601587532643,38.7196807938711,24.7804530047465,11.1377678824815,36.2578532131383,21.9596682273635,39.6959218207159,27.643015151138,32.4502382435706,29.0340767113237,39.6797305385821,40.6035562270792,46.7865123087863,34.3728064643349,42.749308191948,30.6661609937282,42.440775342248,43.609236831794,16.9003588775018,46.4650929083683,34.642886279161,45.2404575288326,44.8663273686474,45.191966514255,37.5949528810376,51.7093434526627,41.8379711560224,53.3453240802718,41.2489637164624,47.3759539393928,48.1812248995532,59.9087270279591,49.9601792744996,44.3301899071502,41.9176729981281,49.8243967473062,50.9881347592066,40.1709327226622,47.3792453837138,36.3003883281142,41.5235016776805,42.8149903478413,42.4579967240999,42.3642219289284,51.3174087953034,50.8841784738233,59.5670123921666,75.0479486671369,61.385951933458,73.7175070323318,63.3022966471624,64.9982344191686,47.3639169917691,49.8709591053408,86.7442783650845,88.5941979447406,110.01386818147,Inf,71.1983361481755,70.6478803067386
"selfclarity_7",9.89052064791814,20.2897271956147,19.735818725425,11.3448877417639,9.1478637249475,17.8350592075319,0,17.2265863752233,22.9399574790771,4.95281027066253,21.1903835022201,15.2379068695715,50.4848642788745,26.395807368183,40.3448547907155,40.4057680104466,42.5875325834915,50.6863354560527,29.3735610990931,33.3685385301958,31.1472675112108,45.5602650330963,40.4423668037745,35.3361401069135,41.3963098857171,41.607255642481,36.4286524815138,40.7012109953487,42.9265698801583,37.3486182894582,27.305842804082,43.3061985209468,41.7899929047421,30.7479994676945,41.5894812239884,44.7114430036447,39.4438068584047,47.1128929554211,43.6652194038204,24.4948380039685,38.4147457313948,38.2637902196054,41.0789144170093,42.6291861187476,31.0873535703321,40.5931694369534,47.1318013002992,50.9338967480491,51.4797690755334,54.0864054128498,45.4199044586632,38.8332804589742,24.0207155998531,54.225968098009,27.9930877490505,48.8848942408614,52.6821501511157,70.6632219713304,55.1383605006187,55.1576749343405,53.4320407421998,33.366650157587,34.5894938684007,41.1566480766608,18.7673931766106,28.4098728457437,44.2374164168765,42.974936102566,50.0678322241348,44.7979840122625,23.1515491410729,43.6593485799592,44.148675630148,44.5647041525046,45.7126017671778,41.3099160947012,42.7501631843229,41.4062781159559,46.8336840247293,34.0650923383014,39.212962235507,62.7711821531683,66.4023136453006,57.1106882726215,58.0070220443932,57.4066781326041,50.2851799896481,62.9827179768357,56.4936204875566,61.0426193722065,35.7964413112313,33.7256149384931,41.1162583205676,24.9459091899754,22.8284060577509,29.0227940049608,37.9124637443843,37.4537683350982,36.7929159981752,32.6156944287994,24.2841715418433,32.3754341640361,44.0105822274949,39.5514531006088,34.5382626495637,27.2886179811613,29.2059709780196,40.1986218566303,46.0058143584905,17.0658150627306,39.2300337001908,28.9695016739037,36.4670008653947,27.0312681611155,37.9569073060775,42.7697188869364,34.3919997119145,44.9734493344517,40.0664098725204,49.2030215158261,46.0931097460638,30.3461656920213,45.907525155333,37.6223403556379,33.6748124574158,39.6656115494901,40.6446239265417,49.1255105934644,39.5664504505374,42.1711141512886,36.465844513343,40.2887559457586,42.9804465330701,40.5559914199297,42.5296781141572,51.4828649805322,51.0496346590521,59.7324685773955,69.8432807359665,61.5514081186868,68.0441224270745,66.6214535747372,67.3948119458651,41.7938627366743,44.300904850246,81.1742241099896,83.0241436896458,104.443813926375,Inf,65.6282818930807,65.0778260516438
"selfclarity_8",7.33606572730514,3.0631408203914,19.0041257730991,17.8515849892689,10.7555663639224,14.2573243460564,17.2265863752233,0,5.96204104449976,20.2801701025009,15.9475501362406,9.995073503592,46.907129417399,17.1017022038319,39.0123015264475,41.3920688481967,39.009797722016,48.1318805354397,46.6001474743164,50.5951249054191,30.7972322737696,47.5140055630094,43.5204564089837,32.7816851863005,38.8418549651041,44.0235661194407,31.1858191155343,35.4583776293692,37.6837365141788,34.7941633688452,22.0630094381025,43.1671925659566,36.5471595387626,27.170264606219,36.346647858009,39.4686096376652,36.8893519377917,45.7826903354107,42.1320376284531,21.9403830833556,37.5231488038316,33.020956853626,35.8360810510298,42.2054151245568,28.5328986497192,35.3503360709739,46.9037252358736,44.8543660217626,53.0874717145083,48.0068746865633,39.3403737323767,32.7537497326876,25.628418238828,52.7290499935093,38.0089854856671,42.8053635145748,46.6026194248291,64.5836912450439,57.4659622286385,54.9295988699149,50.9237655265007,33.4476348686665,34.3614178039752,33.6203525128697,34.094753008449,32.4251851555651,48.2527287266979,44.5834310569112,51.6755348631097,45.1123584760871,34.3629430850344,43.7403332910386,54.1920270327629,47.8731503647425,58.4296940349309,51.9737320377027,49.9048804963752,41.459853869499,47.0530079128733,45.2764862822629,36.658507314894,61.8832119443116,66.1007056045572,59.1357102223225,59.6147246833681,59.0143807715791,51.892882628623,64.5904206158106,58.1013231265315,62.6503220111815,42.3031385587363,35.333317577468,38.5618033999546,26.5536118289503,22.9093907688304,37.4910860802304,33.7312911137124,41.4690806449196,39.4146380374869,29.5573907478462,30.7908687893483,31.6437412117102,43.1469953762291,41.1059483364841,36.1459652885386,33.2630266070747,35.7126682255246,40.1691103260386,43.4513594378775,18.6735177017056,38.8630261858646,35.4761989214087,42.9736981128997,39.2481768266407,46.2000692094828,49.3665757673864,46.122360435277,51.4801465819567,49.2871043950024,53.0205866028113,46.7674811070842,42.5630743575465,57.9404560637421,49.8392490211632,32.3110237653236,46.1723087969951,39.2808352344495,55.6322078409694,38.2026617584452,48.9388726075035,38.0735471523179,43.2966605018843,44.588149172045,42.3953768449031,44.1373807531322,53.0905676195071,52.6573372980271,61.3401712163704,76.3499779834715,63.1591107576617,74.5508196745795,68.3830037025473,64.8403570252521,49.1370758159729,51.6441179295446,88.5174371892882,90.3673567689444,111.787027005674,Inf,72.9714949723793,72.4210391309424
"selfclarity_9",13.2981067718049,3.22552797651792,24.9661668175989,20.8881123794761,13.7920937541296,17.9812071863264,22.9399574790771,5.96204104449976,0,26.2422111470007,16.4422609638745,15.9571145480918,50.631012257669,20.7827410037102,44.6424479614572,45.1159516884667,42.7336805622859,52.1870464068804,47.3287037642029,51.3236811953056,34.4373144559389,51.8151326541218,45.2884476596824,38.7437262308003,44.8038960096039,48.5666098838376,31.6805299431683,41.420418673869,43.6457775586785,37.4792452535257,28.0250504826023,43.6619033935905,42.5092005832624,30.8941474464889,42.3086889025087,45.430650682165,41.0706183193126,51.7251951908468,45.8130764283315,27.9024241278553,43.0589757605769,38.9829978981257,41.7981220955295,47.2734161479297,34.4949396942189,41.3123771154737,50.584764035752,45.0167531778891,53.4340626532937,48.1692618426898,39.5027608885032,32.9161368888141,28.6649456290352,52.8914371496359,34.9524419904071,42.9677506707013,46.7650065809557,64.7460784011704,57.628349384765,58.6106376697933,51.0861526826272,33.9423456963004,38.0424566038535,37.3013913127481,35.8222103671256,35.4617125457723,51.289256116905,50.545472101411,54.7120622533169,51.0743995205869,30.1109033824295,44.2350441186726,51.1080298715046,49.9583285979615,55.9656589839233,48.2692703360578,49.0050308053484,47.4218949139987,53.0150489573731,41.024446579658,42.6205483593938,58.5410638109988,62.7585574712444,58.9901007928685,62.6512520735753,62.0509081617862,54.9294100188302,61.3748745259287,54.8857770366496,59.4347759212995,45.3396659489434,38.3698449676752,44.5238444444544,29.5901392191575,23.4041015964643,41.0675394275492,34.2260019413463,44.5056080351268,39.9093488651208,33.2384295477246,33.8273961795554,37.60578225621,49.1090364207289,47.0679893809838,39.1824926787458,27.3009855625749,38.7491956157318,39.7447697152237,49.4134004823772,21.7100450919127,32.9009851413648,36.5447445317088,38.4943104600415,33.286135782141,40.238028164983,49.0245865079619,40.1603193907772,52.5486921922568,43.3250633505027,53.5152974304452,50.8627019482923,36.6010333130468,51.9784150192423,43.8772079766634,26.3489827208238,47.2408544072952,33.3187941899497,56.7007534512695,32.2406207139454,42.9768315630037,41.1100745425251,46.3331878920914,47.6246765622522,46.0764156447815,47.1739081433393,56.1270950097143,55.6938646882342,64.3766986065775,77.4185235937716,66.1956381478689,75.6193652848796,74.345044747047,70.8023980697518,52.17360320618,54.6806453197517,91.5539645794954,93.4038841591515,114.823554395881,Inf,76.0080223625864,75.4575665211495
"selfclarity_10",14.8433309185807,23.3433109228923,14.7830084547625,6.39207747110139,13.4880960964479,20.4135004814493,4.95281027066253,20.2801701025009,26.2422111470007,0,16.2375732315575,10.2850965989089,45.7325605613478,21.4429970975205,35.392044520053,35.4529577397841,37.8352288659648,47.0916281674719,34.3263713697557,38.3213488008584,26.1944572405483,48.9940429124517,35.489556533112,34.2617225357428,40.3218923145464,36.6544453718185,31.4758422108513,35.7484007246862,37.9737596094957,37.2745575212087,22.3530325334195,43.4572156612735,36.8371826340796,33.3264407416118,36.6366709533259,39.7586327329822,40.8659305869956,45.4382490153246,39.5261302528093,29.4476482746311,42.7549781028952,33.3109799489429,36.1261041463467,42.4954382198737,36.0401638409947,35.6403591662909,49.9502166466617,45.9810864773866,51.1846499292134,49.1335951421873,40.4670941880007,33.8804701883117,28.3609479713535,49.2731578273465,23.0402774783879,43.9320839701988,47.7293398804532,65.7104117006679,50.1855502299561,57.976090280703,52.0504859821247,33.7376579639835,37.4079092147633,37.9616474065583,13.8145829059481,23.4570625750812,39.2846061462139,38.0221258319035,45.7978503464218,44.3444940200053,18.1987388704104,44.0303563863556,39.1958653594855,39.611893881842,40.7597914965153,36.3571058240386,40.9298457157125,36.4534678452933,42.0466218886677,29.1122820676389,37.0747771635964,62.299481793014,66.170708482557,58.6167239151154,59.095738376161,58.1917969456971,51.3738963214159,62.7511128140921,56.262015324813,60.8110142094629,30.8436310405687,35.010289683924,46.0690685912301,20.2658930642082,23.1994138641473,24.0699837342983,32.9596534737218,32.5009580644357,39.7046611328038,32.6038821586344,19.3313612711807,27.4226238933736,39.0577719568323,34.5986428299463,30.7845234914426,22.3358077104988,24.2531607073571,35.2458115859678,48.3894965133022,21.406047434231,34.2772234295282,24.0166914032412,31.5141905947321,31.984078431778,33.0040970354149,39.6621074871115,37.9830765185622,40.0206390637892,45.0192201431829,46.0954101160011,41.1402994754012,35.2989759626838,50.8603354259955,42.5751506263004,38.6276227280783,34.7128012788276,39.1982018713864,44.1727003228019,35.0196031314034,38.0116537109276,40.8060768848434,42.9392959751463,41.842483158334,35.6031811492672,44.5384219005275,51.6394551292782,49.9116712843161,64.0727009488958,64.890470465304,65.8916404901872,63.091312156412,65.7697392345748,69.31238591187,46.7466730073368,49.2537151209085,86.1270343806522,87.9769539603083,105.507978936077,Inf,70.5810921637432,70.0306363223063
