"","x"
"sl_1",0.427680986652852
"sl_2",0.598469400159818
"sl_3",0.22220068184996
"sl_4",0.476723709889928
"sl_5",0.453090427367255
"sl_6",0.433761326700397
"sl_7",0.29194466407364
"sl_8",0.572393791496008
"sl_9",0.522298857464859
"sl_10",0.346505016085248
"sl_11",0.510522137691074
"sl_12",0.515348528152789
"LOT_1",0.247925789073173
"LOT_2",0.351476620239086
"LOT_3",0.554974573867205
"LOT_4",0.355232263114896
"LOT_5",0.41665100964422
"LOT_6",0.186276998182735
"IPC_1",0.28819519537526
"IPC_2",0.140518173280421
"IPC_3",0.476537719273899
"IPC_4",0.11062304119935
"IPC_5",0.444562618275546
"IPC_6",0.458348803099554
"IPC_7",0.355247729880644
"IPC_8",0.295834982227145
"ss_1",0.483717733850985
"ss_2",0.360282286479859
"ss_3",0.529746983577832
"ss_4",0.452237637269787
"ss_5",0.443052015004157
"ss_6",0.524468347572906
"ss_7",0.560406644537988
"ss_8",0.213826527160297
"ss_9",0.566746110059235
"ss_10",0.544644988667911
"cr_1",0.539014177651699
"c_2",0.53246349441461
"c_3",0.544268034103788
"c_4",0.485942620525794
"c_5",0.493261542246284
"c_6",0.608511574112422
"c_7",0.609017591587548
"c_8",0.587345750040433
"c_9",0.515780982819737
"c_10",0.523882469722427
"NPI1",0.2195757877049
"NPI2",0.488267769646772
"NPI3",0.37802059397822
"NPI4",0.326040228038612
"NPI5",0.261081633704979
"NPI6",0.163250885195251
"NPI7",0.354872939570627
"NPI8",0.166109249370324
"NPI9",0.106172130847422
"NPI10",0.471021631606603
"NPI11",0.278878401841297
"NPI12",0.0175144151879452
"NPI13",0.121288141561112
"NPI14",0.0289435477347577
"NPI15",0.363437684205699
"hs_1",0.39895622854304
"h_2",0.481475480732775
"h_3",0.361442303331901
"h_4",0.16565236156517
"h_5",0.375281391274135
"h_6",0.212532144133821
"h_7",0.251920987286522
"h_8",0.202910131685098
"h_9",0.0933438729134762
"h_10",0.265896247756137
"MrI_1",0.21850020982367
"MI_2",0.317137191292052
"MI_3",0.106749894818159
"MI_4",0.128684985803192
"MI_5",0.345033415489988
"MI_6",0.248751650067548
"MI_7",0.319832724796112
"MI_8",0.267747107057815
"MI_9",0.295874054668487
"MI_10",0.322608190555168
"mSI_1",0.548195260861426
"mSI_2",0.525228586826232
"mSI_3",0.525600602848319
"mSI_4",0.547553526100165
"mSI_5",0.512602955451342
"mSI_6",0.447945939467318
"mSI_7",0.577325637232187
"mSI_8",0.560566287149034
"mSI_9",0.556816204615125
"sd_1",0.224969874689472
"sd_2",0.428255688038008
"sd_3",0.2529821079921
"sd_4",0.438840885634797
"sd_5",0.45549314004011
"sd_6",0.547026189869386
"sd_7",0.217204404149825
"sd_8",0.0563985476692477
"sd_9",0.494067687684228
"sd_10",0.553731364066188
"sd_11",0.496566275139288
"sd_12",0.533448162273635
"s_13",0.194691519037815
"s_14",0.340973072919594
"s_15",0.405200781471311
"s_16",0.311598433112162
"s_17",0.492118159310996
"s_18",0.316280419930589
"s_19",0.253593273052323
"s_20",0.529237492232116
"IM_1",0.487113072505602
"IM_2",0.436398840001412
"IM_3",0.393151305409438
"IM_4",0.467060152289166
"IM_5",0.448810689299698
"IM_6",0.335593058377923
"IM_7",0.425951272253019
"IM_8",0.158933468817392
"IM_9",0.350099992860566
"IM_10",0.148729474414396
"IM_11",0.281641422708376
"IM_12",0.379878867210088
"IM_13",0.160455514920735
"IM_14",0.280866318281497
"IM_15",0.423035133021962
"IM_16",0.432541057906378
"IM_17",0.340800082924806
"IM_18",0.164158975059847
"IM_19",0.54864413502016
"IM_20",0.376882015148032
"Abl",0.517513957857576
"Att",0.471646925813445
"Wlt",0.426447846992326
"Scl",0.476343796442662
"Mrl",0.3896227385792
"o_1",0.412903789035303
"f_2",0.431699193339857
"ablty_ALT_r",0.317861877415617
"mrl_ALT_r",0.321714105660131
"ablty_ALT_d",0.318822643565651
"mrl_ALT_d",0.324814675493555
"a_I",0.0914369503122218
"m_I",0.0840390626300331
"a_SRET_E",0.373513775647409
"m_SRET_E",0.228626600582001
"ab_SRET_",0.298969118081752
"mr_SRET_",0.294198153304969
"a_SRET_RJ1",0.00142017101132208
"m_SRET_RJ1",0
"a_SRET_RJ2",0.121383277665771
"m_SRET_RJ2",0.117623307747432
