"","SCS","RSES","CSE","HSNS","NPI","LOT","SDE","IM","MI","MSI","IPC","Ability","Attraction","Wealth","Social","Moral","ability_ALT_rt","moral_ALT_rt","ability_ALT_d","moral_ALT_d","ability_IAT","moral_IAT","ability_SRET_EW","moral_SRET_EW","ability_SRET_rt","moral_SRET_rt","ability_SRET_RJ1_d","moral_SRET_RJ1_d","ability_SRET_RJ2_d","moral_SRET_RJ2_d"
"SCS",1,0.632130228221474,0.658323844841528,-0.551358420534857,0.1071960289022,0.64296487247715,0.7385482638103,0.610716826783236,0.511354378997944,0.296451217183019,0.492517428635793,0.318500779606978,0.306494818235989,0.368225029556784,0.380559852222452,0.289814269204991,-0.0606951560673878,-0.155156233525908,-0.0614729560700062,-0.144935772946962,-0.0116093093700594,-0.0853664499791031,0.189660853007136,0.186893032854613,0.0183979785378109,0.0139231757870727,0.00251028280046024,0.0565963228743728,-0.0536816085680505,-0.0188159347562387
"RSES",0.632130228221474,1,0.8653606038469,-0.497592005589471,0.240368279207632,0.73947093096758,0.708005952447038,0.525265283374665,0.551418356504381,0.369618995441434,0.614786999147246,0.576791472065032,0.45595949821687,0.474152273503289,0.547396689504354,0.489769435804296,0.00968448078654759,0.0126224367934216,0.0172785774220218,0.0116384285106092,0.0221080560272008,-0.036469375390625,0.284368597598229,0.242728706599459,-0.00997223910125678,-0.0123706849457529,0.0389027623041055,0.0322727930090741,-0.0300474664003443,-0.0412924457391629
"CSE",0.658323844841528,0.8653606038469,1,-0.652465740414992,0.309438373344908,0.713923233032252,0.828459050349481,0.577075776691503,0.527176798996773,0.472049051068187,0.698282648852213,0.644331369935593,0.555309457420754,0.541748802747369,0.603865339682585,0.540920239203753,0.0470587564711742,0.0370036166422282,0.0526485862420379,0.0296429429085108,0.10287474120375,-0.0242138069935642,0.402528460504336,0.273692473367242,-0.0448467397690334,-0.00936495106457329,-0.0253822973273417,-0.0307701785070046,-0.0962979832249748,-0.0964197665396343
"HSNS",-0.551358420534857,-0.497592005589471,-0.652465740414992,1,-0.206499260543166,-0.455233562584698,-0.69189050606246,-0.552574521527468,-0.378835145589885,-0.453250033811272,-0.488358124349195,-0.429890547995445,-0.423541880475427,-0.367395568898574,-0.504634947896722,-0.420254373875082,-0.115887250987354,-0.00884138005397521,-0.0944286402542083,0.00235508714459678,-0.121138521414238,-0.0223373885621659,-0.407875898614672,-0.260732608542945,0.0472277389193331,0.0355608717293863,0.0908245451437655,0.0288361390051514,0.0983672292249663,0.0350730158113621
"NPI",0.1071960289022,0.240368279207632,0.309438373344908,-0.206499260543166,1,0.194754820281389,0.275815378396667,0.046422021454388,0.0919802208594024,0.21255283072599,0.276327328542604,0.46510652284666,0.471237372195411,0.373097291616845,0.474703268870881,0.282195132777063,0.0977488368240327,0.192125267850836,0.113665627048412,0.117347712039553,-0.00137009693063705,0.0755356687450721,0.214381465040654,0.030137722871942,-0.0559216108279407,-0.0819847905436676,0.0235866427754457,-0.0545406124314276,-0.0898681541412744,-0.113962146603031
"LOT",0.64296487247715,0.73947093096758,0.713923233032252,-0.455233562584698,0.194754820281389,1,0.658157966882312,0.525865318887024,0.61414238968749,0.340216447205734,0.620651281314366,0.431801798928693,0.387572017019062,0.405857006086753,0.4280644601005,0.412348527094116,-0.0737427701136485,-0.0721602209847653,-0.036985835505273,-0.0573036497298403,0.0166365971110083,-0.00451126864366722,0.274472836132347,0.24138404476543,0.0630385447295805,0.0853149548904268,-0.027111182656065,0.00154000081548966,-0.0346360587082657,-0.0614797723811577
"SDE",0.7385482638103,0.708005952447038,0.828459050349481,-0.69189050606246,0.275815378396667,0.658157966882312,1,0.757578728363156,0.54240334878433,0.526609141768699,0.711269479357161,0.54248842803635,0.530914280624955,0.531038050344766,0.596769044053696,0.524979589821999,-0.0114179521323951,-0.00902579468684003,-0.00684642508004161,-0.0639751507916327,0.0722596089550883,-0.0445337582646326,0.416998768739437,0.265771593386146,-0.0169273858539995,-0.00660161242970739,0.00301872158973943,-0.0164613834378858,-0.0936007818856345,-0.069399844682038
"IM",0.610716826783236,0.525265283374665,0.577075776691503,-0.552574521527468,0.046422021454388,0.525865318887024,0.757578728363156,1,0.569328756133628,0.481505139100084,0.581166279013087,0.292289317188058,0.334658562499936,0.382584547160058,0.373537811262135,0.463748620676822,-0.101014103392822,-0.124915886716463,-0.0909337934120208,-0.145478951496735,0.0590285079996086,-0.00932324874128472,0.302628370633057,0.260528415398038,0.0716184898385703,0.0370098327136665,0.0383381937488548,0.0200066295192847,-0.0306050730474042,-0.025366069005633
"MI",0.511354378997944,0.551418356504381,0.527176798996773,-0.378835145589885,0.0919802208594024,0.61414238968749,0.54240334878433,0.569328756133628,1,0.408915247337879,0.561455778644002,0.319688845111029,0.301933424707573,0.35050781760237,0.322805567986758,0.460733681533023,-0.0814350799587689,-0.133421114606336,-0.0953898398729773,-0.103477060965398,-0.00336436407391826,-0.0132032205851615,0.283580142290173,0.242264196874562,0.091398476927874,0.070793677123513,0.0375675693077035,-0.0208708667957793,0.0192934397461393,-0.0362165559952876
"MSI",0.296451217183019,0.369618995441434,0.472049051068187,-0.453250033811272,0.21255283072599,0.340216447205734,0.526609141768699,0.481505139100084,0.408915247337879,1,0.493005229688854,0.44125553362477,0.430940825613689,0.418077138252992,0.43802536801593,0.542604920401256,0.10619997294062,-0.0253591747478362,0.0832744849910909,-0.0428454761289305,0.114831599654825,0.0779792707186043,0.454988050315903,0.308907720884794,0.149934652361423,0.117535597188373,-0.0661893919447439,-0.0234983190530549,-0.0541919591174066,-0.0974108894850177
"IPC",0.492517428635793,0.614786999147246,0.698282648852213,-0.488358124349195,0.276327328542604,0.620651281314366,0.711269479357161,0.581166279013087,0.561455778644002,0.493005229688854,1,0.500710871750526,0.526101899873093,0.517882513624721,0.550554984566214,0.475157573363106,0.000102673997127985,-0.00239052772401921,-0.0169076450006319,-0.0373535949243057,0.132847665784809,0.0570316911442154,0.426022481121305,0.284002757842246,-0.000529644492019303,0.0183000415585068,-0.0424449840653934,-0.0460772717236386,-0.0899131168985104,-0.0892946813975641
"Ability",0.318500779606978,0.576791472065032,0.644331369935593,-0.429890547995445,0.46510652284666,0.431801798928693,0.54248842803635,0.292289317188058,0.319688845111029,0.44125553362477,0.500710871750526,1,0.682637317465629,0.634501832619999,0.657998513671453,0.616990758489387,0.182135874454631,0.161534989153825,0.161612819542144,0.0861988926005738,0.0999361694339116,0.0758578509120313,0.428555446638295,0.212788434983165,-0.0327239566044284,-0.0568128489728784,-0.025926287147446,-0.11376608447996,-0.118697509725295,-0.156154264229966
"Attraction",0.306494818235989,0.45595949821687,0.555309457420754,-0.423541880475427,0.471237372195411,0.387572017019062,0.530914280624955,0.334658562499936,0.301933424707573,0.430940825613689,0.526101899873093,0.682637317465629,1,0.651246545787786,0.638908424278669,0.574243376452976,0.13562094333665,0.169851172653635,0.0874460247034591,0.083862647879931,0.0653230492912367,0.089024827766453,0.392478771271457,0.179976164143282,-0.060198778762914,-0.066279644016708,-0.060112914627445,-0.109077591466684,-0.0685049556131088,-0.103602892318027
