"","graph","type","node","measure","value"
"1","graph 1",NA,"selfclarity_1","WS",0.243076923076923
"2","graph 1",NA,"selfclarity_2","WS",0.431578947368421
"3","graph 1",NA,"selfclarity_3","WS",0.34640522875817
"4","graph 1",NA,"selfclarity_4","WS",0.284900284900285
"5","graph 1",NA,"selfclarity_5","WS",0.522058823529412
"6","graph 1",NA,"selfclarity_6","WS",0.35672514619883
"7","graph 1",NA,"selfclarity_7","WS",0.444444444444444
"8","graph 1",NA,"selfclarity_8","WS",0.339869281045752
"9","graph 1",NA,"selfclarity_9","WS",0.324110671936759
"10","graph 1",NA,"selfclarity_10","WS",0.311688311688312
"11","graph 1",NA,"selfclarity_11","WS",0.375
"12","graph 1",NA,"selfclarity_12","WS",0.335384615384615
"13","graph 1",NA,"LOT_1","WS",0.314285714285714
"14","graph 1",NA,"LOT_2","WS",0.357894736842105
"15","graph 1",NA,"LOT_3","WS",0.393333333333333
"16","graph 1",NA,"LOT_4","WS",0.345588235294118
"17","graph 1",NA,"LOT_5","WS",0.274853801169591
"18","graph 1",NA,"LOT_6","WS",0.373626373626374
"19","graph 1",NA,"IPC_1","WS",0.161290322580645
"20","graph 1",NA,"IPC_2","WS",0.257575757575758
"21","graph 1",NA,"IPC_3","WS",0.326086956521739
"22","graph 1",NA,"IPC_4","WS",0.220588235294118
"23","graph 1",NA,"IPC_5","WS",0.246305418719212
"24","graph 1",NA,"IPC_6","WS",0.329230769230769
"25","graph 1",NA,"IPC_7","WS",0.333333333333333
"26","graph 1",NA,"IPC_8","WS",0.319047619047619
"27","graph 1",NA,"ses_1","WS",0.313846153846154
"28","graph 1",NA,"ses_2","WS",0.242753623188406
"29","graph 1",NA,"ses_3","WS",0.468421052631579
"30","graph 1",NA,"ses_4","WS",0.514705882352941
"31","graph 1",NA,"ses_5","WS",0.329710144927536
"32","graph 1",NA,"ses_6","WS",0.562091503267974
"33","graph 1",NA,"ses_7","WS",0.516339869281046
"34","graph 1",NA,"ses_8","WS",0.342857142857143
"35","graph 1",NA,"ses_9","WS",0.533333333333333
"36","graph 1",NA,"ses_10","WS",0.681318681318681
"37","graph 1",NA,"coreself_1","WS",0.384615384615385
"38","graph 1",NA,"coreself_2","WS",0.284584980237154
"39","graph 1",NA,"coreself_3","WS",0.378306878306878
"40","graph 1",NA,"coreself_4","WS",0.310344827586207
"41","graph 1",NA,"coreself_5","WS",0.38562091503268
"42","graph 1",NA,"coreself_6","WS",0.515789473684211
"43","graph 1",NA,"coreself_7","WS",0.35042735042735
"44","graph 1",NA,"coreself_8","WS",0.320197044334975
"45","graph 1",NA,"coreself_9","WS",0.52046783625731
"46","graph 1",NA,"coreself_10","WS",0.471428571428571
"47","graph 1",NA,"NPI1","WS",0.31578947368421
"48","graph 1",NA,"NPI2","WS",0.474358974358974
"49","graph 1",NA,"NPI3","WS",0.287581699346405
"50","graph 1",NA,"NPI4","WS",0.358333333333333
"51","graph 1",NA,"NPI5","WS",0.538461538461538
"52","graph 1",NA,"NPI6","WS",0.283333333333333
"53","graph 1",NA,"NPI7","WS",0.321052631578947
"54","graph 1",NA,"NPI8","WS",0.345454545454545
"55","graph 1",NA,"NPI9","WS",0.166666666666667
"56","graph 1",NA,"NPI10","WS",0.545454545454545
"57","graph 1",NA,"NPI11","WS",0.4
"58","graph 1",NA,"NPI12","WS",0.711111111111111
"59","graph 1",NA,"NPI13","WS",0.290909090909091
"60","graph 1",NA,"NPI14","WS",0.392857142857143
"61","graph 1",NA,"NPI15","WS",0.41025641025641
"62","graph 1",NA,"hsns_1","WS",0.354978354978355
"63","graph 1",NA,"hsns_2","WS",0.32034632034632
"64","graph 1",NA,"hsns_3","WS",0.404411764705882
"65","graph 1",NA,"hsns_4","WS",0.18
"66","graph 1",NA,"hsns_5","WS",0.372294372294372
"67","graph 1",NA,"hsns_6","WS",0.292397660818713
"68","graph 1",NA,"hsns_7","WS",0.525641025641026
"69","graph 1",NA,"hsns_8","WS",0.358333333333333
"70","graph 1",NA,"hsns_9","WS",0.2
"71","graph 1",NA,"hsns_10","WS",0.204433497536946
"72","graph 1",NA,"MorIden_1","WS",0.285714285714286
"73","graph 1",NA,"MorIden_2","WS",0.320261437908497
"74","graph 1",NA,"MorIden_3","WS",0.236363636363636
"75","graph 1",NA,"MorIden_4","WS",0.225108225108225
"76","graph 1",NA,"MorIden_5","WS",0.39047619047619
"77","graph 1",NA,"MorIden_6","WS",0.266666666666667
"78","graph 1",NA,"MorIden_7","WS",0.267806267806268
"79","graph 1",NA,"MorIden_8","WS",0.360294117647059
"80","graph 1",NA,"MorIden_9","WS",0.255411255411255
"81","graph 1",NA,"MorIden_10","WS",0.316176470588235
"82","graph 1",NA,"moralSeImag_1","WS",0.291666666666667
"83","graph 1",NA,"moralSeImag_2","WS",0.46969696969697
"84","graph 1",NA,"moralSeImag_3","WS",0.357894736842105
"85","graph 1",NA,"moralSeImag_4","WS",0.484848484848485
"86","graph 1",NA,"moralSeImag_5","WS",0.328571428571429
"87","graph 1",NA,"moralSeImag_6","WS",0.380116959064327
"88","graph 1",NA,"moralSeImag_7","WS",0.461538461538462
"89","graph 1",NA,"moralSeImag_8","WS",0.352631578947368
"90","graph 1",NA,"moralSeImag_9","WS",0.358974358974359
"91","graph 1",NA,"sde_1","WS",0.257309941520468
"92","graph 1",NA,"sde_2","WS",0.343333333333333
"93","graph 1",NA,"sde_3","WS",0.176666666666667
"94","graph 1",NA,"sde_4","WS",0.28735632183908
"95","graph 1",NA,"sde_5","WS",0.278985507246377
"96","graph 1",NA,"sde_6","WS",0.405797101449275
"97","graph 1",NA,"sde_7","WS",0.221343873517787
"98","graph 1",NA,"sde_8","WS",0.185714285714286
"99","graph 1",NA,"sde_9","WS",0.317241379310345
"100","graph 1",NA,"sde_10","WS",0.32258064516129
"101","graph 1",NA,"sde_11","WS",0.316017316017316
"102","graph 1",NA,"sde_12","WS",0.38768115942029
"103","graph 1",NA,"sde_13","WS",0.261904761904762
"104","graph 1",NA,"sde_14","WS",0.39766081871345
"105","graph 1",NA,"sde_15","WS",0.291954022988506
"106","graph 1",NA,"sde_16","WS",0.248677248677249
"107","graph 1",NA,"sde_17","WS",0.296442687747036
"108","graph 1",NA,"sde_18","WS",0.293103448275862
"109","graph 1",NA,"sde_19","WS",0.221052631578947
"110","graph 1",NA,"sde_20","WS",0.280632411067194
"111","graph 1",NA,"IM_1","WS",0.383333333333333
"112","graph 1",NA,"IM_2","WS",0.3
"113","graph 1",NA,"IM_3","WS",0.292490118577075
"114","graph 1",NA,"IM_4","WS",0.296442687747036
"115","graph 1",NA,"IM_5","WS",0.373188405797101
"116","graph 1",NA,"IM_6","WS",0.280952380952381
"117","graph 1",NA,"IM_7","WS",0.341991341991342
"118","graph 1",NA,"IM_8","WS",0.261904761904762
"119","graph 1",NA,"IM_9","WS",0.286231884057971
"120","graph 1",NA,"IM_10","WS",0.258333333333333
"121","graph 1",NA,"IM_11","WS",0.261437908496732
"122","graph 1",NA,"IM_12","WS",0.483516483516484
"123","graph 1",NA,"IM_13","WS",0.283333333333333
