"","from","to","edgebetweenness"
"9111","hsns_8","moral_SRET_RJ2_d",2.86643993645822e+44
"9020","hsns_8","hsns_9",1.43321996822911e+44
"9200","hsns_9","moral_SRET_RJ2_d",1.43321996822911e+44
"2659","LOT_4","hsns_8",7.16609984114555e+43
"2660","LOT_4","hsns_9",7.16609984114555e+43
"2751","LOT_4","moral_SRET_RJ2_d",7.16609984114555e+43
"2668","LOT_4","MorIden_5",3.58304992057277e+43
"9026","hsns_8","MorIden_5",3.58304992057277e+43
"9118","hsns_9","MorIden_5",3.58304992057277e+43
"9717","MorIden_5","moral_SRET_RJ2_d",3.58304992057277e+43
"2620","LOT_4","ses_7",1.79152496028639e+43
"5040","ses_7","hsns_8",1.79152496028639e+43
"5041","ses_7","hsns_9",1.79152496028639e+43
"5047","ses_7","MorIden_5",1.79152496028639e+43
"5131","ses_7","moral_SRET_RJ2_d",1.79152496028639e+43
"2623","LOT_4","ses_10",8.95762480143193e+42
"5003","ses_7","ses_10",8.95762480143193e+42
"5425","ses_10","hsns_8",8.95762480143193e+42
"5426","ses_10","hsns_9",8.95762480143193e+42
"5433","ses_10","MorIden_5",8.95762480143193e+42
"5517","ses_10","moral_SRET_RJ2_d",8.95762480143193e+42
"5316","selfclarity_4","LOT_4",4.47881240071597e+42
"5505","selfclarity_4","ses_7",4.47881240071597e+42
"5538","selfclarity_4","ses_10",4.47881240071597e+42
"5906","selfclarity_4","hsns_8",4.47881240071597e+42
"5917","selfclarity_4","hsns_9",4.47881240071597e+42
"5983","selfclarity_4","MorIden_5",4.47881240071597e+42
"6816","selfclarity_4","moral_SRET_RJ2_d",4.47881240071597e+42
"1360","obj_ses1","moral_SRET_RJ2_d",2.23940620035798e+42
"2734","LOT_4","obj_ses1",2.23940620035798e+42
"5114","ses_7","obj_ses1",2.23940620035798e+42
"5500","ses_10","obj_ses1",2.23940620035798e+42
"6649","selfclarity_4","obj_ses1",2.23940620035798e+42
"9092","hsns_8","obj_ses1",2.23940620035798e+42
"9184","hsns_9","obj_ses1",2.23940620035798e+42
"9700","MorIden_5","obj_ses1",2.23940620035798e+42
"2655","LOT_4","hsns_4",1.11970310017899e+42
"5035","ses_7","hsns_4",1.11970310017899e+42
"5421","ses_10","hsns_4",1.11970310017899e+42
"5861","selfclarity_4","hsns_4",1.11970310017899e+42
"8647","hsns_4","hsns_8",1.11970310017899e+42
"8648","hsns_4","hsns_9",1.11970310017899e+42
"8655","hsns_4","MorIden_5",1.11970310017899e+42
"8722","hsns_4","obj_ses1",1.11970310017899e+42
"8739","hsns_4","moral_SRET_RJ2_d",1.11970310017899e+42
"2656","LOT_4","hsns_5",5.59851550089496e+41
"5036","ses_7","hsns_5",5.59851550089496e+41
"5422","ses_10","hsns_5",5.59851550089496e+41
"5872","selfclarity_4","hsns_5",5.59851550089496e+41
"8644","hsns_4","hsns_5",5.59851550089496e+41
"8742","hsns_5","hsns_8",5.59851550089496e+41
"8743","hsns_5","hsns_9",5.59851550089496e+41
"8750","hsns_5","MorIden_5",5.59851550089496e+41
"8817","hsns_5","obj_ses1",5.59851550089496e+41
"8833","hsns_5","moral_SRET_RJ2_d",5.59851550089496e+41
"2608","LOT_4","IPC_4",2.79925775044748e+41
"3496","IPC_4","ses_7",2.79925775044748e+41
"3499","IPC_4","ses_10",2.79925775044748e+41
"3531","IPC_4","hsns_4",2.79925775044748e+41
