"","GLS1","GLS3","GLS2","GLS5","GLS4","GLS6"
"Moral",0.602589706024796,-0.000714836736718282,0.0568747879479603,-0.0564233723917279,0.017833469395658,-0.0255263087784108
"obj_ses1",0.582385299937085,-0.0365607705337879,-0.0767651769944935,0.217432561559032,0.14653798896892,-0.127361137935771
"fri_ses2",0.599159148762225,-0.0347776872731633,-0.0569336743327838,0.252846733220136,0.204998773036373,-0.152823560109413
"ability_ALT_rt",0.112919580775436,0.15158480149751,0.259399851230973,0.236893960348918,-0.32600189306707,0.345033690276143
"moral_ALT_rt",0.0324674127853442,-0.0881471227848285,0.738398793273017,-0.0316567115724328,0.0359726872905115,-0.0684923188664169
"ability_ALT_d",0.0700759676715488,0.0937126810548254,0.422477330010184,0.133448127711828,-0.329708611295041,0.310956876034106
"moral_ALT_d",-0.00178030100079838,-0.0435918713392803,0.721634901363107,-0.00671931930409319,0.0622446895314873,-0.0729266681812609
"ability_IAT",0.0438134165941938,-0.0151000150331751,0.0863713477232749,0.695190813191223,-0.00683671035517318,0.0117351622996658
"moral_IAT",-0.0260786249029049,-0.0610362102174567,-0.081742675118801,0.7193283578123,-0.115197030997877,0.0724397625867003
"ability_SRET_EW",0.685399144793252,0.0306225657402384,0.104775677922924,-0.0947549709128886,-0.111287125561766,0.0315337386561676
"moral_SRET_EW",0.545245638593477,0.0897091741728408,0.0380214207288015,-0.220246883972816,-0.0212514735252479,0.0836108271990035
"ability_SRET_rt",0.109109651071718,0.670467482183169,-0.157641481751062,-0.0902224445415201,-0.119284113318641,0.00627631989870907
"moral_SRET_rt",0.0612600703322623,0.666374191460753,-0.0873194249942477,-0.100193128765978,-0.111925556336794,0.0396749247779361
"ability_SRET_RJ1_d",0.0760583454404733,-0.0172963146616177,0.0383112252446566,-0.101236851481929,0.779244789225795,0.241278664554465
"moral_SRET_RJ1_d",-0.0691491391253546,-0.0306890205852401,-0.0777578301516517,0.034573957336848,0.166150040957313,0.847448841938221
"ability_SRET_RJ2_d",-0.144293737506683,0.525138126593726,0.105138091587892,0.0801173808527147,0.381507064262503,-0.0895675236477411
"moral_SRET_RJ2_d",-0.259492980750584,0.48407196787317,0.124583806414744,0.138978914211212,0.310653435943308,-0.113330602980672
