,ID,ability_SRET_rt,moral_SRET_rt
1,phase_003_subj_10,48.4,-35.9
2,phase_003_subj_11,207.5,-384.9
3,phase_003_subj_13,-1047.9,-683.8
4,phase_003_subj_2,3.6,64.1
5,phase_003_subj_3,175.2,216
6,phase_003_subj_4,512.3,99.3
7,phase_003_subj_6,153,15.5
8,phase_003_subj_8,1102.9,31.3
9,phase_003_subj_9,-88.7,-67.7
10,phase_004_subj_1,-12.1,38.3
11,phase_004_subj_10,124.9,41.5
12,phase_004_subj_11,1078.2,-1236.9
13,phase_004_subj_13,1898.6,845.9
14,phase_004_subj_15,-17.5,-201.5
15,phase_004_subj_16,-143.2,-233.1
16,phase_004_subj_18,-14.8,41.8
17,phase_004_subj_2,-40.9,-493.3
18,phase_004_subj_3,1818.9,1385.5
19,phase_004_subj_5,298.2,-297.4
20,phase_004_subj_8,2524.8,3362.4
21,phase_005_subj_1,-106.5,198.9
22,phase_005_subj_10,30.1,-3.9
23,phase_005_subj_12,2183.3,5711.5
24,phase_005_subj_13,41.3,25.5
25,phase_005_subj_16,127.2,120.2
26,phase_005_subj_18,240.5,91.9
27,phase_005_subj_19,425.8,324
28,phase_005_subj_2,326.3,-334.5
29,phase_005_subj_3,66.1,-136.2
30,phase_005_subj_4,1350.9,1425.7
31,phase_005_subj_5,-473,352.7
32,phase_005_subj_7,287.6,-33
33,phase_005_subj_9,131.2,80.6
34,phase_006_subj_1,190.1,112
35,phase_006_subj_10,258,119.2
36,phase_006_subj_17,115.3,104.5
37,phase_006_subj_19,119.4,18
38,phase_006_subj_2,127.1,-121.5777778
39,phase_006_subj_22,122.2,10.6
40,phase_006_subj_23,46.66666667,-319.3444444
41,phase_006_subj_24,263,-33.9
42,phase_006_subj_25,14.41111111,52.4
43,phase_006_subj_4,-58,11.5
44,phase_006_subj_5,319.9,69.8
45,phase_006_subj_7,-162.7333333,-36.8
46,phase_006_subj_8,112.7,144.7
47,phase_007_subj_1,-153.7,-47.4
48,phase_007_subj_10,-236.6555556,142.1
49,phase_007_subj_11,-59.2,-50.6
50,phase_007_subj_12,14,216.7
51,phase_007_subj_13,42,17.6
52,phase_007_subj_16,12.64444444,24.3
53,phase_007_subj_17,-224.2222222,36.4
54,phase_007_subj_18,88.2,-4.2
55,phase_007_subj_19,-244.5,-80.1
56,phase_007_subj_21,112,-206.5
57,phase_007_subj_3,119.3,57.6
58,phase_007_subj_4,10.4,122
59,phase_007_subj_5,-16.2,27.8
60,phase_007_subj_6,-58.7,162.7
61,phase_007_subj_8,-188.9,-97.3
62,phase_008_subj_1,268.2,28.5
63,phase_008_subj_10,-118,-97.1
64,phase_008_subj_11,83.9,-86.6
65,phase_008_subj_12,55.6,40.6
66,phase_008_subj_13,110.3,0.9
67,phase_008_subj_14,125.9,79.8
68,phase_008_subj_15,93.1,26.5
69,phase_008_subj_16,143,-72.5
70,phase_008_subj_17,85.3,-12.8
71,phase_008_subj_18,10.93333333,14.3
72,phase_008_subj_19,187.6,0.477777778
73,phase_008_subj_2,-40.025,-186.7
74,phase_008_subj_20,-23.3,88.7
75,phase_008_subj_8,-49.4,247.7
76,phase_009_subj_1,-86.9,-2.1
77,phase_009_subj_10,94.7,-27.4
78,phase_009_subj_11,25,70.2
79,phase_009_subj_12,-62,8.3
80,phase_009_subj_13,6.7,124.9
81,phase_009_subj_14,88.6,166
82,phase_009_subj_15,257.6,64.8
83,phase_009_subj_16,98.2,1.4
84,phase_009_subj_18,133.7,207
85,phase_009_subj_19,35,-18
86,phase_009_subj_20,136,-13.2
87,phase_009_subj_21,119.7,111
88,phase_009_subj_22,-15.5,-18.7
89,phase_009_subj_23,110.5,121.9
90,phase_009_subj_5,54.5,-0.5
91,phase_009_subj_6,-0.6,37.7
92,phase_009_subj_7,295.7,149
93,phase_009_subj_8,31.8,99.8
94,phase_009_subj_9,118.3,-41.4
95,phase_010_subj_1,-41.1,164.1
96,phase_010_subj_11,0.1,54.5
97,phase_010_subj_12,181.5,237.2
98,phase_010_subj_13,250.5,214.6555556
99,phase_010_subj_16,-101.4,68.5
100,phase_010_subj_19,-29.1,-42.3
101,phase_010_subj_2,425.9,207.8666667
102,phase_010_subj_20,196.3,190
103,phase_010_subj_21,-78,-159.5
104,phase_010_subj_22,-71.8,33.3
105,phase_010_subj_24,-32.8,-106.5
106,phase_010_subj_3,107.4,-110.9
107,phase_010_subj_6,-191.2,-102.7
108,phase_010_subj_7,120.2,108
109,phase_010_subj_9,66.8,64
110,phase_011_subj_1,57,106.9
111,phase_011_subj_10,-24.4,-32
112,phase_011_subj_13,2,15.4
113,phase_011_subj_14,-76.08888889,-37.4
114,phase_011_subj_16,-56.1,-144
115,phase_011_subj_17,160.6,-69.6
116,phase_011_subj_18,62.82222222,-83.6
117,phase_011_subj_19,10.9,26.7
118,phase_011_subj_2,78.7,-11.2
119,phase_011_subj_20,-61.46666667,9.3
120,phase_011_subj_22,148,93.9
121,phase_011_subj_23,73.3,-77.01111111
122,phase_011_subj_24,56.42222222,-29.9
123,phase_011_subj_25,212.7666667,26.4
124,phase_011_subj_3,29.9,-76.3
125,phase_011_subj_4,291.2,-11.2
126,phase_011_subj_5,104.6,-49.3
127,phase_011_subj_6,-30,34.9
128,phase_011_subj_7,137,87.7
129,phase_011_subj_8,3.3,-38.2
130,phase_011_subj_9,43.9,-35.4
131,phase_012_subj_10,172.9,-15.8
132,phase_012_subj_11,79.1,-86.9
133,phase_012_subj_12,95.2,196
134,phase_012_subj_13,-256.5555556,-122
135,phase_012_subj_14,51.9,86.7
136,phase_012_subj_15,300.9,206.6
137,phase_012_subj_16,49,-27.4
138,phase_012_subj_17,129.2,51.5
139,phase_012_subj_2,-7.155555556,139.2
140,phase_012_subj_20,135,120
141,phase_012_subj_21,167.2,17.9
142,phase_012_subj_3,34.6,120.4
143,phase_012_subj_4,-62.9,131.8
144,phase_012_subj_5,51.6,-75.7
145,phase_012_subj_6,-4.888888889,21.5
146,phase_012_subj_7,-120.6,-131.5
147,phase_012_subj_8,22,10.9
148,phase_013_subj_10,84.9,-35.3
149,phase_013_subj_11,29.2,99.7
150,phase_013_subj_13,204.8,-33
151,phase_013_subj_17,57.1,-12.3
152,phase_013_subj_18,178.3,24
153,phase_013_subj_19,26.4,129.6
154,phase_013_subj_2,111.5,64.5
155,phase_013_subj_21,141.7,178.5
156,phase_013_subj_22,164.3,-34.6
157,phase_013_subj_23,37.6,-17.2
158,phase_013_subj_25,130.8,-1.4
159,phase_013_subj_26,173.7,-89.9
160,phase_013_subj_27,-32.9,54.1
161,phase_013_subj_28,197.1,39.7
162,phase_013_subj_29,219,-59.2
163,phase_013_subj_30,7.5,96.1
164,phase_013_subj_31,307.9,108.8
165,phase_013_subj_32,172,28.9
166,phase_013_subj_33,-22.6,-47.5
167,phase_013_subj_4,327.4,-19.4
168,phase_013_subj_5,189.2,143
169,phase_013_subj_6,71.22222222,-57.375
170,phase_013_subj_7,233.4,343.1
171,phase_013_subj_8,103.8,-32.3
172,phase_013_subj_9,-106.7777778,84.2
173,phase_014_subj_10,248,127.3
174,phase_014_subj_11,-48.9,-304.7
175,phase_014_subj_12,41.8,37.2
176,phase_014_subj_13,-45.42222222,1.1
177,phase_014_subj_16,-65.7,119.2
178,phase_014_subj_17,50.8,44.8
179,phase_014_subj_18,33.8,39.2
180,phase_014_subj_19,-49.4,69
181,phase_014_subj_21,150.3666667,11.5
182,phase_014_subj_23,29.4,-57.23333333
183,phase_014_subj_27,118.3,92.1
184,phase_014_subj_29,39.2,77.6
185,phase_014_subj_31,31.5,-341.1
186,phase_014_subj_32,13.5,-8.9
187,phase_014_subj_33,88.7,-9.2
188,phase_014_subj_34,183.4,-61.5
189,phase_014_subj_36,163.9,76
190,phase_014_subj_37,20.1,81.5
191,phase_014_subj_39,114.5,55.5
192,phase_014_subj_4,-21.2,-102.6
193,phase_014_subj_40,230.7,161.3555556
194,phase_014_subj_41,109.7,157.3666667
195,phase_014_subj_42,26,-63.8
196,phase_014_subj_45,128.7,-69
197,phase_014_subj_48,33.3,-13.9
198,phase_014_subj_5,-124.1,-143.5
199,phase_014_subj_50,-38.64444444,59.9
200,phase_014_subj_51,48.7,38.2
201,phase_014_subj_53,-167,-62.3
202,phase_014_subj_55,-63.8,-116.1
203,phase_014_subj_59,52.4,120.2
204,phase_014_subj_61,20.5,-27.2
205,phase_014_subj_8,92.4,129.8
206,phase_014_subj_9,117.6444444,29.7
207,phase_015_subj_1,-20.1,-251.4
208,phase_015_subj_10,82.5,92.2
209,phase_015_subj_11,4.1,9.8
210,phase_015_subj_12,81.4,60.2
211,phase_015_subj_15,-67.2,110.4
212,phase_015_subj_16,189.5,77.9
213,phase_015_subj_17,-37.7,-33.26666667
214,phase_015_subj_18,-11.28888889,-26.97777778
215,phase_015_subj_19,211.7,24.8
216,phase_015_subj_2,-61.3,-91.9
217,phase_015_subj_20,191.9,267.9
218,phase_015_subj_21,49.7,-72.7
219,phase_015_subj_22,121.6,106.7
220,phase_015_subj_23,122.8,86.5
221,phase_015_subj_24,-86.7,-7.2
222,phase_015_subj_25,-30.9,-146.8
223,phase_015_subj_26,150.3,56
224,phase_015_subj_27,72.8,58.2
225,phase_015_subj_28,215.6111111,-10.2
226,phase_015_subj_29,-124.2,-70.7
227,phase_015_subj_3,-45.6,55.6
228,phase_015_subj_30,124.9,68.1
229,phase_015_subj_31,91.52380952,-6.666666667
230,phase_015_subj_32,198.6,150.5
231,phase_015_subj_33,137.2,96.76666667
232,phase_015_subj_34,62.7,225.3
233,phase_015_subj_35,13.9,63.86666667
234,phase_015_subj_38,170.7,44.7
235,phase_015_subj_39,85.5,-78.8
236,phase_015_subj_4,51.9,-141.3
237,phase_015_subj_40,-7.4,-12.4
238,phase_015_subj_42,-3.9,-303.4
239,phase_015_subj_43,86.8,-249.3
240,phase_015_subj_47,12.4,149
241,phase_015_subj_48,73.9,184.1
242,phase_015_subj_49,165.7,8.3
243,phase_015_subj_5,165.8,-11.1
244,phase_015_subj_6,117.6,-39.8
245,phase_015_subj_7,195.4666667,-81.2
246,phase_015_subj_9,175,-133.1
247,phase_016_subj_1,116.9,244.7
248,phase_016_subj_10,-120,-77.4
249,phase_016_subj_11,-51.22222222,-200
250,phase_016_subj_13,-197.7,-26.2
251,phase_016_subj_16,-23.8,43.3
252,phase_016_subj_2,-91.2,-350.3
253,phase_016_subj_20,60.9,157.3
254,phase_016_subj_24,-92.3,41.6
255,phase_016_subj_25,-142.1,104.3
256,phase_016_subj_29,-24.6,100.2
257,phase_016_subj_30,88.2,154.5
258,phase_016_subj_31,36.7,33.9
259,phase_016_subj_32,-24.1,84.6
260,phase_016_subj_33,56.4,-34.5
261,phase_016_subj_34,133.2,156.5
262,phase_016_subj_35,10.9,-103.5
263,phase_016_subj_36,129.7,173
264,phase_016_subj_38,145.8,98
265,phase_016_subj_4,119.9,139.6
266,phase_016_subj_40,65.35555556,169
267,phase_016_subj_43,84.1,125.2
268,phase_016_subj_44,120.7,-133.8
269,phase_016_subj_45,107.1,5.7
270,phase_016_subj_48,-55.5,64.1
271,phase_016_subj_49,59.4,22
272,phase_016_subj_5,54.3,27.4
273,phase_016_subj_50,103,74.7
274,phase_016_subj_51,89.2,-157.1
275,phase_016_subj_52,72.8,24
276,phase_016_subj_53,-104.3,-222.4
277,phase_016_subj_54,36.4,162.3666667
278,phase_016_subj_55,-26.5,-76.4
279,phase_016_subj_56,-17.7,-93
280,phase_016_subj_58,84.5,-55.3
281,phase_016_subj_59,38.6,136.2
282,phase_016_subj_6,122.2,-142.2
283,phase_016_subj_60,-127.2,99.7
284,phase_016_subj_66,-5.111111111,126.9777778
285,phase_016_subj_68,209.7,-11
286,phase_016_subj_69,69.4,190.9
287,phase_016_subj_71,-29.7,-9.3
